"type","sub_type","sqft","baths","beds","stories","year_built","listPrice"
"condos","condo","460","1",,"1","2001","138500"
"single_family",,"2400","2","4",,"2025","398000"
"land",,,"0",,,,"74000"
"land",,,"0",,,,"16500"
"land",,,"0",,,,"25000"
"land",,,"0",,,,"85000"
"single_family",,"2316","3","4","2","1984","349000"
"single_family",,"1030","2","2","1","1983","375000"
"condos","condo","1204","2","2","1","1985","145000"
"single_family",,"1053","1","3","1","1940","158000"
"farm",,,,,,,"185000"
"single_family",,"2376","3","3","2","2006","646000"
"land",,,"0",,,,"75000"
"condos","condo","1216","2","3","1","2001","350000"
"single_family",,"1137","2","2","1","2000","389500"
"land",,,"0",,,,"65000"
"single_family",,"1865","2","3",,"2006","444900"
"townhomes","townhouse","1402","2","2",,"1999","159000"
"single_family",,"3668","4","4","2","2002","655000"
"single_family",,"1855","2","4","2","2007","285000"
"single_family",,"3233","5","5",,,"695000"
"single_family",,"2426","3","3","2","2018","499900"
"single_family",,"1715","2","3","1",,"386550"
"single_family",,"1960","3","4",,"1953","155000"
"land",,,"0",,,,"39000"
"single_family",,,"3","4","1",,"185000"
"single_family",,"2222","2","3","1","1997","464900"
"condos","condo","570","1",,"1","1988","76900"
"land",,,"0",,,,"425000"
"single_family",,"2100","3","3","2",,"389900"
"single_family",,"1580","2","3","1","1969","254900"
"single_family",,"2767","2","3","2","1979","799000"
"farm",,,,,,,"300000"
"single_family",,"2592","3","5","2","1998","248500"
"single_family",,"1913",,"3","1",,
"townhomes","townhouse","1445","3","3","2","2024","237100"
"single_family",,"1764","2","3",,,"675000"
"single_family",,"1352","2","3","1","1980","440000"
"single_family",,"3652","4","5","2","1981","499000"
"single_family",,"1376","2","3","1","2004","208500"
"single_family",,"1932","2","4","1","2026","374900"
"single_family",,"2756","3","4","2","1850","319900"
"single_family",,"2189","3","3","2","1995","375000"
"single_family",,"1284","2","3",,"2002","374900"
"farm",,,,,,,"99000"
"townhomes","townhouse","1579","3","3","2","2016","299000"
"single_family",,"1332","2","3","1","2006","283000"
"single_family",,"3567","4","5","2","2007","1250000"
"single_family",,"1166","2","2","1","1988","585000"
"single_family",,"1128","2","3","1","1983","115000"
"single_family",,"1326","2","3",,"1983","190000"
"single_family",,"800","2","3","1","1957","319900"
"condos","condo","572","1","2","1","1984","264900"
"single_family",,"2397","3","3","1","2018","519000"
"single_family",,"2684","3","4","2","2004","598000"
"condos","condo","872","2","2","1","1980","245900"
"single_family",,"1647","2","3",,"1952","85000"
"condos","condo","1245","2","3","1","1994","199999"
"single_family",,"1646","2","3","1","2000","299900"
"single_family",,"1400","3","3","2","1988","289900"
"single_family",,"1798","2","4",,"1964","149900"
"land",,,"0",,,,"35900"
"single_family",,"1046","2","2","1","1995","190000"
"land",,,"0",,,,"22900"
"single_family",,"1564","2","4","1","2025","259900"
"single_family",,"1638","2","3","1","1979","325000"
"single_family",,"2128","3","4","1","2020","409680"
"single_family",,"1043","2","3","1","1981","59900"
"single_family",,"1635","2","4","1","1975","249900"
"single_family",,"2875","4","4","2","2025","698000"
"single_family",,"2328","2","4",,"1973","284900"
"condos","condo","922","2","2","1","1973","74500"
"single_family",,"1524","2","2","1","1954","250000"
"condos","condo","1109","2","2",,"2006","395500"
"single_family",,"1831","3","3","1","2000","372000"
"condos","condo","650","1","1","7","1999","160000"
"single_family",,"2628","3","4","2",,"341749"
"single_family",,"1432","2","2","1","1900","189000"
"single_family",,"1248","2","3","1","2000","139000"
"single_family",,"2013","3","4","1","1970","165000"
"single_family",,"1455","2","2",,,"299900"
"land",,,"0",,,,"49000"
"single_family",,"1428","1","3","1","1965","65000"
"single_family",,"1419","2","3","2","1987","375000"
"single_family",,"3917","4","4",,"2023","265000"
"land",,,"0",,,,"3800"
"single_family",,"1582","2","3","1","2023","442000"
"condos","condo","1100","2","2","1","1982","339000"
"single_family",,"1777","2","3","1","1977","142100"
"single_family",,"1800","3","3","2","2002","499000"
"single_family",,"2290","2","3",,"1970","185000"
"single_family",,"1006","2","2","1","1950","85000"
"single_family",,"3157","3","5","2","1967","499500"
"single_family",,"1248","2","3","1","1979","1175000"
"single_family",,"1509","2","3",,,"610000"
"single_family",,"2771","3","4","1","1998","475000"
"single_family",,"1613","2","2","2",,"595000"
"single_family",,"1680","3","4","1",,"364900"
"land",,,"0",,,,"64990"
"single_family",,"2140","4","4","2",,"519645"
"single_family",,"3251","4","4",,,"1099000"
"multi_family",,"6200",,"16",,"1959","895000"
"single_family",,"3057","4","4",,"1997","399900"
"single_family",,"1872","3","4","2","1997","789000"
"single_family",,"2221","3","4","2","2017","225000"
"single_family",,"1075","1","3","1","1973","79900"
"single_family",,"4960","7","5","2","2007","639000"
"single_family",,"1672","3","3","2","1989","315000"
"single_family",,"2705","2","5","2","1947","159900"
"single_family",,"2324","3","4","2","2012","609000"
"single_family",,"2933","3","5","2","2000","510000"
"single_family",,"730","1","2","1","1980","95000"
"single_family",,"1383","2","2",,,"399900"
"condos","condo","581","1","1","7","1987","110000"
"single_family",,"2544","3","4","1","2005","1095000"
"condos","condo","1242","2","2","1","2005","275000"
"land",,,"0",,,,"20000"
"single_family",,"728","1","2",,"1949","374500"
"single_family",,"2638","4","4","2","2015","825000"
"condos","condo","623","1","1",,"1983","125000"
"single_family",,"3150","4","4","2","2002","725000"
